Week_Ending_Date,Observed_Number,Year,Week,Outcome
2017-01-14,61114,2017,2,All causes
2017-01-21,59454,2017,3,All causes
2017-01-28,58176,2017,4,All causes
2017-02-04,58537,2017,5,All causes
2017-02-11,59162,2017,6,All causes
2017-02-18,58604,2017,7,All causes
2017-02-25,58385,2017,8,All causes
2017-03-04,57360,2017,9,All causes
2017-03-11,57598,2017,10,All causes
2017-03-18,56779,2017,11,All causes
2017-03-25,57161,2017,12,All causes
2017-04-01,55837,2017,13,All causes
2017-04-08,55267,2017,14,All causes
2017-04-15,54969,2017,15,All causes
2017-04-22,53175,2017,16,All causes
2017-04-29,53404,2017,17,All causes
2017-05-06,52753,2017,18,All causes
2017-05-13,52077,2017,19,All causes
2017-05-20,52575,2017,20,All causes
2017-05-27,51106,2017,21,All causes
2017-06-03,51369,2017,22,All causes
2017-06-10,51525,2017,23,All causes
2017-06-17,50933,2017,24,All causes
2017-06-24,51326,2017,25,All causes
2017-07-01,50742,2017,26,All causes
2017-07-08,51091,2017,27,All causes
2017-07-15,50133,2017,28,All causes
2017-07-22,50229,2017,29,All causes
2017-07-29,49494,2017,30,All causes
2017-08-05,50210,2017,31,All causes
2017-08-12,50371,2017,32,All causes
2017-08-19,50296,2017,33,All causes
2017-08-26,49659,2017,34,All causes
2017-09-02,50960,2017,35,All causes
2017-09-09,51111,2017,36,All causes
2017-09-16,51820,2017,37,All causes
2017-09-23,51358,2017,38,All causes
2017-09-30,51462,2017,39,All causes
2017-10-07,52235,2017,40,All causes
2017-10-14,51703,2017,41,All causes
2017-10-21,52357,2017,42,All causes
2017-10-28,52687,2017,43,All causes
2017-11-04,53832,2017,44,All causes
2017-11-11,53384,2017,45,All causes
2017-11-18,53910,2017,46,All causes
2017-11-25,54225,2017,47,All causes
2017-12-02,54903,2017,48,All causes
2017-12-09,55747,2017,49,All causes
2017-12-16,57540,2017,50,All causes
2017-12-23,59681,2017,51,All causes
2017-12-30,61251,2017,52,All causes
2018-01-06,66317,2018,1,All causes
2018-01-13,67686,2018,2,All causes
2018-01-20,64820,2018,3,All causes
2018-01-27,62922,2018,4,All causes
2018-02-03,61144,2018,5,All causes
2018-02-10,61243,2018,6,All causes
2018-02-17,59931,2018,7,All causes
2018-02-24,57935,2018,8,All causes
2018-03-03,56829,2018,9,All causes
2018-03-10,57226,2018,10,All causes
2018-03-17,56480,2018,11,All causes
2018-03-24,55912,2018,12,All causes
2018-03-31,55045,2018,13,All causes
2018-04-07,55425,2018,14,All causes
2018-04-14,55355,2018,15,All causes
2018-04-21,54152,2018,16,All causes
2018-04-28,53848,2018,17,All causes
2018-05-05,53874,2018,18,All causes
2018-05-12,52227,2018,19,All causes
2018-05-19,50739,2018,20,All causes
2018-05-26,51055,2018,21,All causes
2018-06-02,51162,2018,22,All causes
2018-06-09,52123,2018,23,All causes
2018-06-16,51514,2018,24,All causes
2018-06-23,51230,2018,25,All causes
2018-06-30,50995,2018,26,All causes
2018-07-07,51812,2018,27,All causes
2018-07-14,51347,2018,28,All causes
2018-07-21,50731,2018,29,All causes
2018-07-28,50422,2018,30,All causes
2018-08-04,50799,2018,31,All causes
2018-08-11,51130,2018,32,All causes
