Week,2017,2018,2019,2020,2020_Excluding_COVID
1,n/a,66317,58472,60096,60096
2,61114,67686,58506,60648,60648
3,59454,64820,58351,59254,59253
4,58176,62922,58031,59007,59006
5,58537,61144,58276,58879,58879
6,59162,61243,58650,59507,59506
7,58604,59931,58114,58800,58800
8,58385,57935,58141,58904,58899
9,57360,56829,58071,59111,59105
10,57598,57226,58666,59136,59101
11,56779,56480,58019,58204,58152
12,57161,55912,57228,59084,58515
13,55837,55045,56772,63205,60028
14,55267,55425,56710,72653,62582
15,54969,55355,55641,79641,63285
16,53175,54152,54584,77406,60104
17,53404,53848,53767,74474,58821
18,52753,53874,54118,69847,56503
19,52077,52227,53611,67277,55963
20,52575,50739,53676,64921,55642
21,51106,51055,53822,62150,54880
22,51369,51162,52856,60256,53999
23,51525,52123,53293,59335,54224
24,50933,51514,52792,56944,52742
25,51326,51230,52418,56481,52735
26,50742,50995,52315,56802,53255
27,51091,51812,52498,57588,53680
28,50133,51347,52082,56499,53022
29,50229,50731,51788,n/a,n/a
30,49494,50422,51800,n/a,n/a
31,50210,50799,51542,n/a,n/a
32,50371,51130,51849,n/a,n/a
33,50296,50435,51128,n/a,n/a
34,49659,50577,51141,n/a,n/a
35,50960,50745,51284,n/a,n/a
36,51111,50429,51953,n/a,n/a
37,51820,51215,51750,n/a,n/a
38,51358,51713,51905,n/a,n/a
39,51462,51105,52870,n/a,n/a
40,52235,52486,52679,n/a,n/a
41,51703,51972,53217,n/a,n/a
42,52357,53113,54437,n/a,n/a
43,52687,53892,54151,n/a,n/a
44,53832,53767,54206,n/a,n/a
45,53384,53692,55799,n/a,n/a
46,53910,54837,56031,n/a,n/a
47,54225,54981,56311,n/a,n/a
48,54903,55210,55605,n/a,n/a
49,55747,56095,57413,n/a,n/a
50,57540,56531,57789,n/a,n/a
51,59681,56688,57575,n/a,n/a
52,61251,56163,58613,n/a,n/a
